# City name -> IANA time zone, sorted by name for binary search.
# Generated by scripts/cities.py from GeoNames cities15000 (https://www.geonames.org),
# licensed under CC BY 4.0. Do not edit by hand.
ad darwa	Africa/Casablanca
ad dasmah	Asia/Kuwait
ad dawadimi	Asia/Riyadh
ad dawahy	Africa/Cairo
ad dawādimī	Asia/Riyadh
ad dilam	Asia/Riyadh
ad dilinjat	Africa/Cairo
ad dilinjāt	Africa/Cairo
ad dindar	Africa/Khartoum
ad dir'iyah	Asia/Riyadh
ad dir‘īyah	Asia/Riyadh
ad douiem	Africa/Khartoum
ad dujayl	Asia/Baghdad
ad dānā	Asia/Damascus
ada	America/Chicago
adachi	Asia/Tokyo
adachi city	Asia/Tokyo
adalet	Australia/Adelaide
adalia	Europe/Istanbul
adam	Asia/Muscat
adamantina	America/Sao_Paulo
adampur	Asia/Kolkata
adams morgan	America/New_York
adamstown	Pacific/Pitcairn
adan	Asia/Aden
adana	Europe/Istanbul
adanattutekkumuri kizhakku	Asia/Kolkata
adane	Europe/Istanbul
adano	Europe/Istanbul
adapazari	Europe/Istanbul
adapazarı	Europe/Istanbul
addanki	Asia/Kolkata
addis ababa	Africa/Addis_Ababa
addis abaeba	Africa/Addis_Ababa
addis abbaba	Africa/Addis_Ababa
addis abeba	Africa/Addis_Ababa
addis abebae	Africa/Addis_Ababa
addisa ababa	Africa/Addis_Ababa
addisaaba	Africa/Addis_Ababa
addison	America/Chicago
addisz abeba	Africa/Addis_Ababa
adebaye	Africa/Addis_Ababa
adehlaida	Australia/Adelaide
adehn	Asia/Aden
adehsa	Europe/Kyiv
adeje	Atlantic/Canary
adelaida	Australia/Adelaide
adelaidae	Australia/Adelaide
adelaide	Australia/Adelaide
adelaide city centre	Australia/Adelaide
adelaide hills	Australia/Adelaide
adelaidis	Australia/Adelaide
adelajda	Australia/Adelaide
adelajdo	Australia/Adelaide
adelanto	America/Los_Angeles
adelejd	Australia/Adelaide
adelfas	Europe/Madrid
adelfia	Europe/Rome
adelphi	America/New_York
adem	Asia/Aden
aden	Asia/Aden
aden khot	Asia/Aden
aden shaary	Asia/Aden
adena	Asia/Aden
adenas	Asia/Aden
adeni	Asia/Aden
adeno	Asia/Aden
adenta	Africa/Accra
aderedo	Australia/Adelaide
ades	Europe/Kyiv
adet	Africa/Addis_Ababa
adh dhayd	Asia/Dubai
adhanah	Europe/Istanbul
adiake	Africa/Abidjan
adiaké	Africa/Abidjan
adichanallur	Asia/Kolkata
adichānallūr	Asia/Kolkata
adigrat	Africa/Addis_Ababa
adijana	Asia/Tashkent
adilabad	Asia/Kolkata
adilaid	Australia/Adelaide
adilcevaz	Europe/Istanbul
adiled	Australia/Adelaide
adirampattinam	Asia/Kolkata
adis 'alem	Africa/Addis_Ababa
adis ababa	Africa/Addis_Ababa
adis abeba	Africa/Addis_Ababa
adis abebo	Africa/Addis_Ababa
adis k'idame	Africa/Addis_Ababa
adis zemen	Africa/Addis_Ababa
adisa ababa	Africa/Addis_Ababa
adisabeba	Africa/Addis_Ababa
adiseuababa	Africa/Addis_Ababa
adisuabeba	Africa/Addis_Ababa
adiwerna	Asia/Jakarta
adiyaman	Europe/Istanbul
adiyanuthu	Asia/Kolkata
adjaouere	Africa/Porto-Novo
adjaouèrè	Africa/Porto-Novo
adjarra	Africa/Porto-Novo
adjud	Europe/Bucharest
adjumani	Africa/Kampala
adlayd	Australia/Adelaide
adler	Europe/Moscow
adlershof	Europe/Berlin
adliswil	Europe/Zurich
admiralteisky	Europe/Moscow
admwntn	America/Edmonton
admwntwn	America/Edmonton
adnbrt	Europe/London
adnt	Europe/Istanbul
ado ekiti	Africa/Lagos
ado odo	Africa/Lagos
adoni	Asia/Kolkata
adra	Europe/Madrid
adrano	Europe/Rome
adrar	Africa/Algiers
adre	Africa/Ndjamena
adrian	America/Detroit
adriano	Europe/Rome
adrogue	America/Argentina/Buenos_Aires
adrogué	America/Argentina/Buenos_Aires
adré	Africa/Ndjamena
adur	Asia/Kolkata
adustina	America/Bahia
adwa	Africa/Addis_Ababa
adwick le street	Europe/London
adylyd	Australia/Adelaide
adynbrw	Europe/London
adys ababa	Africa/Addis_Ababa
adys abeba	Africa/Addis_Ababa
adzhmer	Asia/Kolkata
adzmer	Asia/Kolkata
adzmera	Asia/Kolkata
adzmeras	Asia/Kolkata
adzope	Africa/Abidjan
adzopé	Africa/Abidjan
adzsmir	Asia/Kolkata
adıyaman	Europe/Istanbul
adūr	Asia/Kolkata
aea	Africa/Tripoli
aeaenekoski	Europe/Helsinki
aebu saby	Asia/Dubai
aebura	America/New_York
aedeulleideu	Australia/Adelaide
aelbeokeoki	America/Denver
aelia capitolina	Asia/Jerusalem
aemstelredamme	Europe/Amsterdam
aemsterdam	Europe/Amsterdam
aenew	Asia/Ashgabat
aengelholm	Europe/Stockholm
aeteullaenta	America/New_York
aeussere neustadt	Europe/Berlin
af'abet	Africa/Asmara
affery	Africa/Abidjan
affton	America/Chicago
afgooye	Africa/Mogadishu
afif	Asia/Riyadh
afikpo	Africa/Lagos
afina	Europe/Athens
afini	Europe/Athens
afiny	Europe/Athens
afipskiy	Europe/Moscow
aflao	Africa/Accra
aflou	Africa/Algiers
afogados da ingazeira	America/Recife
afonso claudio	America/Sao_Paulo
afonso cláudio	America/Sao_Paulo
afragola	Europe/Rome
afranio	America/Recife
afrânio	America/Recife
afsin	Europe/Istanbul
afua	America/Belem
afula	Asia/Jerusalem
afumadabado	Asia/Kolkata
afurada de baixo	Europe/Lisbon
afuvuazu	Asia/Tehran
afuá	America/Belem
afyonkarahisar	Europe/Istanbul
afzalgarh	Asia/Kolkata
afzalpur	Asia/Kolkata
afşin	Europe/Istanbul
af’abet	Africa/Asmara
aga	Africa/Cairo
agadair	Africa/Casablanca
agadez	Africa/Niamey
agadileu	Africa/Casablanca
agadir	Africa/Casablanca
agadir akadyr	Africa/Casablanca
agadir ighir	Africa/Casablanca
agadira	Africa/Casablanca
agadiras	Africa/Casablanca
agadiru	Africa/Casablanca
agadyr	Africa/Casablanca
agano	Asia/Tokyo
agar	Asia/Kolkata
agara	Asia/Kolkata
agaram	Asia/Kolkata
agaro	Africa/Addis_Ababa
agartala	Asia/Kolkata
agats	Asia/Jayapura
agawam	America/New_York
agbor	Africa/Lagos
agboville	Africa/Abidjan
agdas	Asia/Baku
agde	Europe/Paris
agege	Africa/Lagos
agen	Europe/Paris
ageo	Asia/Tokyo
ageula	Asia/Kolkata
aghadyr	Africa/Casablanca
aghajari	Asia/Tehran
aghdam	Asia/Baku
aghjabadi	Asia/Baku
aghsu	Asia/Baku
aghwaskalyynts	America/Mexico_City
agia paraskevi	Europe/Athens
agia petroupole	Europe/Moscow
agia varvara	Europe/Athens
agidel'	Asia/Yekaterinburg
agidel’	Asia/Yekaterinburg
agincourt north	America/Toronto
agincourt south malvern west	America/Toronto
aginskoye	Asia/Chita
agioi anargyroi	Europe/Athens
agios dimitrios	Europe/Athens
agios ioannis rentis	Europe/Athens
aglantzia	Asia/Nicosia
aglantziá	Asia/Nicosia
aglipay	Asia/Manila
agmer	Asia/Kolkata
agnibilekrou	Africa/Abidjan
agnibilékrou	Africa/Abidjan
agogo	Africa/Accra
agoo	Asia/Manila
agoura	America/Los_Angeles
agoura hills	America/Los_Angeles
agourai	Africa/Casablanca
agouraï	Africa/Casablanca
agra	Asia/Kolkata
agra agara	Asia/Kolkata
agram	Europe/Zagreb
agrestina	America/Recife
agri	Europe/Istanbul
agrigento	Europe/Rome
agrinio	Europe/Athens
agro	Asia/Kolkata
agropoli	Europe/Rome
agryz	Europe/Moscow
agrínio	Europe/Athens
agtoebe	Asia/Aqtobe
agu'asakali'atesa	America/Mexico_City
agu'askaili'entesa	America/Mexico_City
agua azul do norte	America/Belem
agua boa	America/Cuiaba
agua branca	America/Maceio
agua caliente	America/Los_Angeles
agua clara	America/Campo_Grande
